source_analysis_id	source_seqid	matched_seqid	source_target_symbol	source_label	trait_ontology_name	trait_ontology_id	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	target_resolution_method	target_resolution_notes	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
GCST90240129	6079-59	6079-59	ACPL2	2-phosphoxylose phosphatase 1 levels (ACPL2.6079.59.3)	2-phosphoxylose phosphatase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0803305	2-phosphoxylose phosphatase 1	92370	ENSG00000155893	PXYLP1	3	141228726	141367753	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240130	10361-25	10361-25	OAS1	2'-5'-oligoadenylate synthase 1 levels (OAS1.10361.25.3)	2'-5'-oligoadenylate synthase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021911	2'-5'-oligoadenylate synthase 1	4938	ENSG00000089127	OAS1	12	112905856	112933219	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240131	6609-22	6609-22	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase levels (CNP.6609.22.3)	2',3'-cyclic-nucleotide 3'-phosphodiesterase measurement	http://www.ebi.ac.uk/efo/EFO_0802232	2',3'-cyclic-nucleotide 3'-phosphodiesterase	1267	ENSG00000173786	CNP	17	41966729	41977740	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240132	8824-2		PSMD1	26S proteasome non-ATPase regulatory subunit 1 levels (PSMD1.8824.2.3)	26S proteasome non-ATPase regulatory subunit 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802233			ENSG00000173692	PSMD1	2	231056845	231173116	1	protein_coding	GRCh38	TRUE	FALSE	ensembl_hgnc_symbol	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to Ensembl HGNC symbol	mapped_to_ensembl	GWAS Catalog trait symbol		Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240133	13572-43	13572-43	PSMD11	26S proteasome non-ATPase regulatory subunit 11 levels (PSMD11.13572.43.3)	26S proteasome non-ATPase regulatory subunit 11 measurement	http://www.ebi.ac.uk/efo/EFO_0802234	26S proteasome non-ATPase regulatory subunit 11	5717	ENSG00000108671	PSMD11	17	32444379	32483319	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240134	13568-30	13568-30	PSMD4	26S proteasome non-ATPase regulatory subunit 4 levels (PSMD4.13568.30.3)	26S proteasome non-ATPase regulatory subunit 4 measurement	http://www.ebi.ac.uk/efo/EFO_0802235	26S proteasome non-ATPase regulatory subunit 4	5710	ENSG00000159352	PSMD4	1	151254709	151279502	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240135	10716-35	10716-35	PSMD5	26S proteasome non-ATPase regulatory subunit 5 levels (PSMD5.10716.35.3)	26S proteasome non-ATPase regulatory subunit 5 measurement	http://www.ebi.ac.uk/efo/EFO_0801331	26S proteasome non-ATPase regulatory subunit 5	5711	ENSG00000095261	PSMD5	9	120815496	120843388	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240136	3898-5	3898-5	PSMD7	26S proteasome non-ATPase regulatory subunit 7 levels (PSMD7.3898.5.2)	26S proteasome non-ATPase regulatory subunit 7 amount	http://purl.obolibrary.org/obo/OBA_2050236	26S proteasome non-ATPase regulatory subunit 7	5713	ENSG00000103035	PSMD7	16	74296781	74306290	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240137	5230-99	5230-99	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase levels (HMGCR.5230.99.3)	3-hydroxy-3-methylglutaryl-coenzymeAreductase measurement	http://www.ebi.ac.uk/efo/EFO_0020113	3-hydroxy-3-methylglutaryl-coenzyme A reductase	3156	ENSG00000113161	HMGCR	5	75336329	75364241	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240138	4217-49	4217-49	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2 levels (HSD17B10.4217.49.3)	3-hydroxyacyl-coa dehydrogenase type-2 measurement	http://www.ebi.ac.uk/efo/EFO_0020114	3-hydroxyacyl-CoA dehydrogenase type-2	3028	ENSG00000072506	HSD17B10	X	53431258	53434403	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240139	5861-78	5861-78	HAAO	3-hydroxyanthranilate 3,4-dioxygenase levels (HAAO.5861.78.3)	3-hydroxyanthranilate 3,4-dioxygenase measurement	http://www.ebi.ac.uk/efo/EFO_0021862	3-hydroxyanthranilate 3,4-dioxygenase	23498	ENSG00000162882	HAAO	2	42765709	42792941	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240140	12686-15	12686-15	MPST	3-mercaptopyruvate sulfurtransferase levels (MPST.12686.15.3)	3-mercaptopyruvate sulfurtransferase measurement	http://www.ebi.ac.uk/efo/EFO_0802236	3-mercaptopyruvate sulfurtransferase	4357	ENSG00000128309	MPST	22	37019635	37029828	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240141	8021-59	8021-59	MRPL14	39S ribosomal protein L14, mitochondrial levels (MRPL14.8021.59.3)	39S ribosomal protein L14, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802237	39S ribosomal protein L14, mitochondrial	64928	ENSG00000180992	MRPL14	6	44078275	44134339	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240142	7982-10	7982-10	MRPL32	39S ribosomal protein L14, mitochondrial levels (MRPL32.7982.10.3)	39S ribosomal protein L14, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802237	39S ribosomal protein L32, mitochondrial	64983	ENSG00000106591	MRPL32	7	42932346	42948958	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240143	13453-2	13453-2	MRPL33	39S ribosomal protein L33, mitochondrial levels (MRPL33.13453.2.3)	39S ribosomal protein L33, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0801332	39S ribosomal protein L33, mitochondrial	9553	ENSG00000243147	MRPL33	2	27771683	27781484	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240144	6933-20	6933-20	MRPL34	39S ribosomal protein L34, mitochondrial levels (MRPL34.6933.20.3)	39S ribosomal protein L34, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802238	39S ribosomal protein L34, mitochondrial	64981	ENSG00000130312	MRPL34	19	17292543	17306847	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240145	7123-25	7123-25	MRPL52	39S ribosomal protein L52, mitochondrial levels (MRPL52.7123.25.3)	39S ribosomal protein L52, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802239	39S ribosomal protein L52, mitochondrial	122704	ENSG00000172590	MRPL52	14	22829871	22836024	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240146	10024-44	10024-44	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial levels (HOGA1.10024.44.3)	4-hydroxy-2-oxoglutarate aldolase, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802240	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	112817	ENSG00000241935	HOGA1	10	97584323	97613829	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240147	5026-66	5026-66	RPS3	40S ribosomal protein S3 levels (RPS3.5026.66.1)	40s ribosomal protein S3 measurement	http://www.ebi.ac.uk/efo/EFO_0020117	40S ribosomal protein S3	6188	ENSG00000149273	RPS3	11	75394327	75422304	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240148	5484-63	5484-63	RPS3A	40S ribosomal protein S3a levels (RPS3A.5484.63.3)	40S ribosomal protein S3a measurement	http://www.ebi.ac.uk/efo/EFO_0801333	40S ribosomal protein S3a	6189	ENSG00000145425	RPS3A	4	151099564	151104652	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240149	9758-17	9758-17	RPS4X	40S ribosomal protein S4, X isoform levels (RPS4X.9758.17.3)	40S ribosomal protein S4, X isoform measurement	http://www.ebi.ac.uk/efo/EFO_0801334	40S ribosomal protein S4, X isoform	6191	ENSG00000198034	RPS4X	X	72255661	72277344	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240150	3864-5	3864-5	RPS7	40S ribosomal protein S7 levels (RPS7.3864.5.2)	40s ribosomal protein S7 measurement	http://www.ebi.ac.uk/efo/EFO_0020118	40S ribosomal protein S7	6201	ENSG00000171863	RPS7	2	3575198	3580952	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240151	4957-1	19623-26	RPSA	40S ribosomal protein SA levels (RPSA.4957.1.2)	40s ribosomal protein SA measurement	http://www.ebi.ac.uk/efo/EFO_0020119	40S ribosomal protein SA	3921	ENSG00000168028	RPSA	3	39406709	39426255	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240152	14107-1	14107-1	MTHFS	5-formyltetrahydrofolate cyclo-ligase levels (MTHFS.14107.1.3)	5-formyltetrahydrofolate cyclo-ligase measurement	http://www.ebi.ac.uk/efo/EFO_0801335	5-formyltetrahydrofolate cyclo-ligase	10588	ENSG00000136371	MTHFS	15	79833585	79897379	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240153	6993-8	6993-8	NT5E	5'-Nucleotidase levels (NT5E.6993.8.3)	5'-nucleotidase measurement	http://www.ebi.ac.uk/efo/EFO_0802241	5'-Nucleotidase	4907	ENSG00000135318	NT5E	6	85449584	85547684	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240154	12560-9	12560-9	NT5C	5'(3')-deoxyribonucleotidase, cytosolic type levels (NT5C.12560.9.3)	5'(3')-deoxyribonucleotidase, cytosolic type measurement	http://www.ebi.ac.uk/efo/EFO_0801336	5'(3')-deoxyribonucleotidase, cytosolic type	30833	ENSG00000125458	NT5C	17	75130225	75131806	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240155	12014-19	12014-19	PTS	6-pyruvoyl tetrahydrobiopterin synthase levels (PTS.12014.19.3)	6-pyruvoyl tetrahydrobiopterin synthase measurement	http://www.ebi.ac.uk/efo/EFO_0802242	6-pyruvoyl tetrahydrobiopterin synthase	5805	ENSG00000150787	PTS	11	112226059	112270449	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240156	10949-59	10949-59	RPLP2	60S acidic ribosomal protein P2 levels (RPLP2.10949.59.3)	60S acidic ribosomal protein P2 measurement	http://www.ebi.ac.uk/efo/EFO_0802243	60S acidic ribosomal protein P2	6181	ENSG00000177600	RPLP2	11	799414	812891	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240157	12478-15	12478-15	RPL30	60S ribosomal protein L30 levels (RPL30.12478.15.3)	60S ribosomal protein L30 measurement	http://www.ebi.ac.uk/efo/EFO_0801337	60S ribosomal protein L30	6156	ENSG00000156482	RPL30	8	98016387	98046469	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240158	11370-20	11370-20	INPP5E	72 kDa inositol polyphosphate 5-phosphatase levels (INPP5E.11370.20.3)	72 kDa inositol polyphosphate 5-phosphatase measurement	http://www.ebi.ac.uk/efo/EFO_0802244	72 kDa inositol polyphosphate 5-phosphatase	56623	ENSG00000148384	INPP5E	9	136428615	136439882	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240159	4160-49	4160-49	MMP2	72 kDa type IV collagenase levels (MMP2.4160.49.1)	72 kda type IV collagenase measurement	http://www.ebi.ac.uk/efo/EFO_0020122	72 kDa type IV collagenase	4313	ENSG00000087245	MMP2	16	55389700	55508058	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240160	3174-2	3174-2	ADAMTS1	A disintegrin and metalloproteinase with thrombospondin motifs 1 levels (ADAMTS1.3174.2.1)	a disintegrin and metalloproteinase with thrombospondin motifs 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021968	A disintegrin and metalloproteinase with thrombospondin motifs 1	9510	ENSG00000154734	ADAMTS1	21	26835687	26845409	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240161	3175-51	3175-51	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13 levels (ADAMTS13.3175.51.5)	ADAMTS13 measurement	http://www.ebi.ac.uk/efo/EFO_0009269	A disintegrin and metalloproteinase with thrombospondin motifs 13	11093	ENSG00000160323	ADAMTS13	9	133414358	133459402	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240162	4533-76	4533-76	ADAMTS15	A disintegrin and metalloproteinase with thrombospondin motifs 15 levels (ADAMTS15.4533.76.2)	a disintegrin and metalloproteinase with thrombospondin motifs 15 measurement	http://www.ebi.ac.uk/efo/EFO_0020123	A disintegrin and metalloproteinase with thrombospondin motifs 15	170689	ENSG00000166106	ADAMTS15	11	130448635	130476645	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240163	8845-2	8845-2	ADAMTS3	A disintegrin and metalloproteinase with thrombospondin motifs 3 levels (ADAMTS3.8845.2.3)	a disintegrin and metalloproteinase with thrombospondin motifs 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802245	A disintegrin and metalloproteinase with thrombospondin motifs 3	9508	ENSG00000156140	ADAMTS3	4	72280969	72569365	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240164	2809-25	2809-25	ADAMTS4	A disintegrin and metalloproteinase with thrombospondin motifs 4 levels (ADAMTS4.2809.25.2)	a disintegrin and metalloproteinase with thrombospondin motifs 4 measurement	http://www.ebi.ac.uk/efo/EFO_0020124	A disintegrin and metalloproteinase with thrombospondin motifs 4	9507	ENSG00000158859	ADAMTS4	1	161184302	161200509	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240165	3168-8	3168-8	ADAMTS5	A disintegrin and metalloproteinase with thrombospondin motifs 5 levels (ADAMTS5.3168.8.2)	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008326	A disintegrin and metalloproteinase with thrombospondin motifs 5	11096	ENSG00000154736	ADAMTS5	21	26917922	26967641	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240166	6441-62	6441-62	ADAMTS6	A disintegrin and metalloproteinase with thrombospondin motifs 6 levels (ADAMTS6.6441.62.3)	a disintegrin and metalloproteinase with thrombospondin motifs 6 measurement	http://www.ebi.ac.uk/efo/EFO_0801338	A disintegrin and metalloproteinase with thrombospondin motifs 6	11174	ENSG00000049192	ADAMTS6	5	65148738	65481944	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240167	10030-8	10030-8	MUTYH	A/G-specific adenine DNA glycosylase levels (MUTYH.10030.8.3)	A/G-specific adenine DNA glycosylase measurement	http://www.ebi.ac.uk/efo/EFO_0802246	Adenine DNA glycosylase	4595	ENSG00000132781	MUTYH	1	45329163	45340893	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240168	9794-17	9794-17	ADCK4	AarF domain-containing protein kinase 4 levels (ADCK4.9794.17.3)	aarF domain-containing protein kinase 4 measurement	http://www.ebi.ac.uk/efo/EFO_0802247	AarF domain-containing protein kinase 4	79934	ENSG00000123815	COQ8B	19	40691514	40725784	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240169	5261-13	5261-13	ABL2	Abelson tyrosine-protein kinase 2 levels (ABL2.5261.13.3)	Abelson tyrosine-protein kinase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008012	Abelson tyrosine-protein kinase 2	27	ENSG00000143322	ABL2	1	179099330	179229684	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
