analysis_index	analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	trait_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	gene_id	gene_name	trait_chr	trait_bp	n	tissue	context	mhc	target_resolution_method	n_target_rows
10	GCST90240129	GCST90240129	2-phosphoxylose phosphatase 1 levels (ACPL2.6079.59.3)	2-phosphoxylose phosphatase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0803305	http://www.ebi.ac.uk/efo/EFO_0803305	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PXYLP1_GCST90240129.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240129/harmonised/GCST90240129.h.tsv.gz		PXYLP1_GCST90240129.filtered.tsv.gz	6045ec5e99ca5a5e3ed8b83c6b1e0b9988dbb9acbd03bdbf5ea20319abcedf0a	sha256	618831	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000155893	PXYLP1	3	141228726	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
11	GCST90240130	GCST90240130	2'-5'-oligoadenylate synthase 1 levels (OAS1.10361.25.3)	2'-5'-oligoadenylate synthase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021911	http://www.ebi.ac.uk/efo/EFO_0021911	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/OAS1_GCST90240130.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240130/harmonised/GCST90240130.h.tsv.gz		OAS1_GCST90240130.filtered.tsv.gz	e65c2b9441cd646cfd1a486ae7f81a864416e8c1ba96607a267a3b485d3d8534	sha256	269402	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000089127	OAS1	12	112905856	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
12	GCST90240131	GCST90240131	2',3'-cyclic-nucleotide 3'-phosphodiesterase levels (CNP.6609.22.3)	2',3'-cyclic-nucleotide 3'-phosphodiesterase measurement	http://www.ebi.ac.uk/efo/EFO_0802232	http://www.ebi.ac.uk/efo/EFO_0802232	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/CNP_GCST90240131.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240131/harmonised/GCST90240131.h.tsv.gz		CNP_GCST90240131.filtered.tsv.gz	11576b7583e382d2b0f1f9c16ffd2663e0c519033c6c438ca175c7753675ae17	sha256	98840	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000173786	CNP	17	41966729	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
13	GCST90240132	GCST90240132	26S proteasome non-ATPase regulatory subunit 1 levels (PSMD1.8824.2.3)	26S proteasome non-ATPase regulatory subunit 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802233	http://www.ebi.ac.uk/efo/EFO_0802233	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PSMD1_GCST90240132.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240132/harmonised/GCST90240132.h.tsv.gz		PSMD1_GCST90240132.filtered.tsv.gz	f12c771b38c9fd52fce602a61d30dfaa66438dad9955a82fde0d4c6b9ca88dbf	sha256	262830	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000173692	PSMD1	2	231056845	3301	plasma	SomaScan	FALSE	ensembl_hgnc_symbol	1
14	GCST90240133	GCST90240133	26S proteasome non-ATPase regulatory subunit 11 levels (PSMD11.13572.43.3)	26S proteasome non-ATPase regulatory subunit 11 measurement	http://www.ebi.ac.uk/efo/EFO_0802234	http://www.ebi.ac.uk/efo/EFO_0802234	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PSMD11_GCST90240133.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240133/harmonised/GCST90240133.h.tsv.gz		PSMD11_GCST90240133.filtered.tsv.gz	b18fe9808acc1c46133dad9c65965e96a48e7833dbf016961e1633d2fd6559f9	sha256	115288	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000108671	PSMD11	17	32444379	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
15	GCST90240134	GCST90240134	26S proteasome non-ATPase regulatory subunit 4 levels (PSMD4.13568.30.3)	26S proteasome non-ATPase regulatory subunit 4 measurement	http://www.ebi.ac.uk/efo/EFO_0802235	http://www.ebi.ac.uk/efo/EFO_0802235	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PSMD4_GCST90240134.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240134/harmonised/GCST90240134.h.tsv.gz		PSMD4_GCST90240134.filtered.tsv.gz	f729bc86e20c8d41ff07b6006e1940d70836ce537427ac3fb5aae62c311c5bf6	sha256	88758	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000159352	PSMD4	1	151254709	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
16	GCST90240135	GCST90240135	26S proteasome non-ATPase regulatory subunit 5 levels (PSMD5.10716.35.3)	26S proteasome non-ATPase regulatory subunit 5 measurement	http://www.ebi.ac.uk/efo/EFO_0801331	http://www.ebi.ac.uk/efo/EFO_0801331	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PSMD5_GCST90240135.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240135/harmonised/GCST90240135.h.tsv.gz		PSMD5_GCST90240135.filtered.tsv.gz	c2b2cb9ad6d52d2c84af7f81c281511dbc4838ed02a921843593b1d8b3d19863	sha256	421273	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000095261	PSMD5	9	120815496	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
17	GCST90240136	GCST90240136	26S proteasome non-ATPase regulatory subunit 7 levels (PSMD7.3898.5.2)	26S proteasome non-ATPase regulatory subunit 7 amount	http://purl.obolibrary.org/obo/OBA_2050236	http://purl.obolibrary.org/obo/OBA_2050236	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PSMD7_GCST90240136.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240136/harmonised/GCST90240136.h.tsv.gz		PSMD7_GCST90240136.filtered.tsv.gz	1f098d36f0995716ed1be6bcafd7d87ca3e9c9f64728a2e3e3fcf11db1d7dfd8	sha256	138341	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000103035	PSMD7	16	74296781	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
18	GCST90240137	GCST90240137	3-hydroxy-3-methylglutaryl-coenzyme A reductase levels (HMGCR.5230.99.3)	3-hydroxy-3-methylglutaryl-coenzymeAreductase measurement	http://www.ebi.ac.uk/efo/EFO_0020113	http://www.ebi.ac.uk/efo/EFO_0020113	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/HMGCR_GCST90240137.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240137/harmonised/GCST90240137.h.tsv.gz		HMGCR_GCST90240137.filtered.tsv.gz	8415bf68bd123692eaa02133d94e39b799d27c90263023814f80b0168c690440	sha256	118092	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000113161	HMGCR	5	75336329	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
19	GCST90240138	GCST90240138	3-hydroxyacyl-CoA dehydrogenase type-2 levels (HSD17B10.4217.49.3)	3-hydroxyacyl-coa dehydrogenase type-2 measurement	http://www.ebi.ac.uk/efo/EFO_0020114	http://www.ebi.ac.uk/efo/EFO_0020114	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/HSD17B10_GCST90240138.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240138/harmonised/GCST90240138.h.tsv.gz		HSD17B10_GCST90240138.filtered.tsv.gz	0cc8b853aa8d9da11c795e094bef23b45301807cd3256eef9f7c9d6bcbb3ff78	sha256	957	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000072506	HSD17B10	X	53431258	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
20	GCST90240139	GCST90240139	3-hydroxyanthranilate 3,4-dioxygenase levels (HAAO.5861.78.3)	3-hydroxyanthranilate 3,4-dioxygenase measurement	http://www.ebi.ac.uk/efo/EFO_0021862	http://www.ebi.ac.uk/efo/EFO_0021862	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/HAAO_GCST90240139.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240139/harmonised/GCST90240139.h.tsv.gz		HAAO_GCST90240139.filtered.tsv.gz	064366ae71f22d68e2dec47f1d1815fdf914c485e31addfcc106b182a8758c6a	sha256	616516	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000162882	HAAO	2	42765709	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
21	GCST90240140	GCST90240140	3-mercaptopyruvate sulfurtransferase levels (MPST.12686.15.3)	3-mercaptopyruvate sulfurtransferase measurement	http://www.ebi.ac.uk/efo/EFO_0802236	http://www.ebi.ac.uk/efo/EFO_0802236	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MPST_GCST90240140.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240140/harmonised/GCST90240140.h.tsv.gz		MPST_GCST90240140.filtered.tsv.gz	48108a59c5d4bffe79e3b6e52ccb57259cd9d89b1a64b7222bb015630274b1f4	sha256	266989	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000128309	MPST	22	37019635	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
22	GCST90240141	GCST90240141	39S ribosomal protein L14, mitochondrial levels (MRPL14.8021.59.3)	39S ribosomal protein L14, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802237	http://www.ebi.ac.uk/efo/EFO_0802237	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MRPL14_GCST90240141.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240141/harmonised/GCST90240141.h.tsv.gz		MRPL14_GCST90240141.filtered.tsv.gz	131416d1cad105c1bc31d944d2356499a93f0241fda6d13b016186a0a40d1cd0	sha256	203991	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000180992	MRPL14	6	44078275	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
23	GCST90240142	GCST90240142	39S ribosomal protein L14, mitochondrial levels (MRPL32.7982.10.3)	39S ribosomal protein L14, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802237	http://www.ebi.ac.uk/efo/EFO_0802237	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MRPL32_GCST90240142.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240142/harmonised/GCST90240142.h.tsv.gz		MRPL32_GCST90240142.filtered.tsv.gz	399dad29a34a4437d729091b548d4250d142d443a95a4275974f8dcbe1dec001	sha256	127098	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000106591	MRPL32	7	42932346	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
24	GCST90240143	GCST90240143	39S ribosomal protein L33, mitochondrial levels (MRPL33.13453.2.3)	39S ribosomal protein L33, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0801332	http://www.ebi.ac.uk/efo/EFO_0801332	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MRPL33_GCST90240143.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240143/harmonised/GCST90240143.h.tsv.gz		MRPL33_GCST90240143.filtered.tsv.gz	537bb1d1b2ab812dae2d19d437dedbaa315a74c8b06a29005491791dab069bec	sha256	267483	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000243147	MRPL33	2	27771683	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
